,Unnamed: 0,Lambda,FID,MSE
164,164,412.0,1624.415771484375,0.0012293970548567974
278,278,701.0,2265.005859375,0.001542207019711911
247,247,701.0,2570.467529296875,0.0015303045288920325
209,209,701.0,1720.1568603515625,0.0011682316033878792
146,146,701.0,2149.18798828125,0.0011075578829298856
211,211,701.0,1884.326416015625,0.002295489285605489
30,30,701.0,1547.3011474609375,0.0019093450239327234
239,239,701.0,1667.977783203125,0.003179417449474264
185,185,701.0,1787.9705810546875,0.0008704568483719103
230,230,701.0,2541.3173828125,0.0014187833682165
372,372,701.0,1737.037109375,0.001203298509262759
368,368,1193.0,2080.30419921875,0.00707516238060871
215,215,1193.0,1555.8936767578125,0.0014375614247057885
228,228,1193.0,1624.721435546875,0.0006630361228866511
42,42,1193.0,2043.2431640625,0.00760893548529885
22,22,1193.0,1648.7265625,0.0006215689261659563
24,24,1193.0,1588.409912109375,0.0003893816392619055
326,326,1193.0,2176.32763671875,0.0005642011662304949
197,197,1193.0,1739.783203125,0.0010210346887025044
59,59,1193.0,2113.17431640625,0.0010635157373435843
62,62,1193.0,1850.8218994140625,0.0008359324781021236
15,15,2030.0,1994.4208984375,0.0036559148140174157
222,222,2030.0,1714.372314453125,0.0009107651148615207
78,78,2030.0,2203.6962890625,0.00010765430073846585
383,383,2030.0,2222.6826171875,0.0005737251504123892
161,161,2030.0,2182.606689453125,0.0003283301588276131
9,9,2030.0,2142.19384765625,0.004220420875236225
56,56,2030.0,2174.2880859375,9.721856476257662e-05
217,217,2030.0,1615.85595703125,0.002687428097942379
114,114,2030.0,2054.704833984375,0.00023447718681955768
64,64,2030.0,1951.35693359375,0.0003429962688718355
160,160,3455.5878,2430.352783203125,0.00026870120942861794
71,71,3455.5878,2108.791748046875,0.0020953835236909987
377,377,3455.5878,2680.30419921875,0.00040366492817796654
48,48,3455.5878,2167.16162109375,6.640708579934487e-05
16,16,3455.5878,2001.24951171875,0.0004178370808124977
179,179,3455.5878,2510.0478515625,0.00031345769979599524
119,119,3455.5878,2179.869873046875,0.00011106135018089216
360,360,3455.5878,2178.7353515625,1.4586779205558069e-05
97,97,3455.5878,1708.0145263671875,0.0003176244331114351
128,128,3455.5878,2015.0164794921875,0.00019136428404021446
374,374,10000.0,2157.27880859375,4.83891730705864e-05
203,203,10000.0,2226.98681640625,0.0007008476602464849
234,234,10000.0,2203.619873046875,0.0005525608662922951
298,298,10000.0,2176.68603515625,0.0007030354291288376
67,67,10000.0,2197.67041015625,0.0007226115166227879
53,53,10000.0,2193.255615234375,0.0002481649578572623
243,243,10000.0,2171.7958984375,9.371659423373624e-05
229,229,10000.0,2178.875244140625,5.086160528062298e-05
28,28,10000.0,2145.516357421875,0.0006417896979427835
100,100,10000.0,2141.57763671875,0.0002126487827186125
