,Lambda,FID,MSE
195,0.00119,3480.988525390625,0.8210927062391541
196,0.08,3480.920166015625,0.8210927062490037
197,1193.0,1739.783203125,0.0010210346887025044
198,0.00346,3481.131591796875,0.821092706244474
199,2e-05,1665.732421875,0.48271416311635174
200,0.02,3480.97021484375,0.8210927062435791
201,1e-05,3480.94189453125,0.8210927062379878
202,0.1,3481.09619140625,0.8210927062436829
203,10000.0,2226.98681640625,0.0007008476602464849
204,17.0,1382.43701171875,0.013080940284717938
205,412.0,1491.3031005859375,0.0014691199798843215
206,0.7,1369.5950927734375,0.12623173338393626
207,0.00588,3480.976806640625,0.8210927062403569
208,0.08,3480.998779296875,0.8210927062398308
209,701.0,1720.1568603515625,0.0011682316033878792
210,242.0,1711.2451171875,0.0045155406635824635
211,701.0,1884.326416015625,0.002295489285605489
212,83.0,1754.29150390625,0.005460979411153234
213,142.0,1633.868896484375,0.0019654621014268576
214,0.04,3481.009765625,0.8210927062427911
215,1193.0,1555.8936767578125,0.0014375614247057883
216,142.0,1475.54736328125,0.0025922642727282965
217,2030.0,1615.85595703125,0.002687428097942379
218,0.00119,3481.0107421875,0.8210927062330506
219,0.02,3480.98583984375,0.8210927062413318
220,412.0,1702.6187744140625,0.002298384759983965
221,5e-05,3481.05810546875,0.8210927062412151
222,2030.0,1714.372314453125,0.0009107651148615208
223,2.0,1592.364013671875,0.09334838833256501
224,2e-05,1571.7056884765625,0.5828434581179931
225,0.2,3481.05029296875,0.821092706243029
226,142.0,1691.2972412109375,0.002662748796677048
227,0.0007,3480.993896484375,0.8210927062436982
228,1193.0,1624.721435546875,0.0006630361228866511
229,10000.0,2178.875244140625,5.0861605280622986e-05
230,701.0,2541.3173828125,0.0014187833682165001
231,0.00119,3481.015625,0.8210927062400633
232,5.0,1484.5086669921875,0.05404311916070614
233,17.0,1059.8316650390625,0.00993060692832431
234,10000.0,2203.619873046875,0.000552560866292295
235,0.0007,3481.049072265625,0.8210927062409425
236,0.08,3480.973876953125,0.8210927062429245
237,0.08,3481.025390625,0.8210927062429083
238,83.0,1774.756103515625,0.003712566585162292
239,701.0,1667.977783203125,0.003179417449474264
240,0.2,3480.998046875,0.8210927062388207
241,0.00041,3480.998046875,0.8210927062325308
242,3e-05,3481.037841796875,0.8210927062411021
243,10000.0,2171.7958984375,9.371659423373624e-05
244,142.0,1836.590087890625,0.0023132174573284197
245,142.0,1713.623291015625,0.0031782187947216084
246,0.00588,3481.00244140625,0.8210927062441497
247,701.0,2570.467529296875,0.0015303045288920325
248,3.0,906.0398559570312,0.08033342668642406
249,0.00041,3480.968017578125,0.8210927062418988
250,3.0,1081.5670166015625,0.0607701502831397
251,17.0,1330.0804443359375,0.011174811485820184
252,0.00588,3480.99658203125,0.8210927062408383
253,0.00346,1287.6121826171875,0.5995969137984091
254,3.0,1483.07177734375,0.05500374944624269
255,0.7,1731.6414794921875,0.10844177298505094
256,0.01,3480.94873046875,0.8210927062421981
257,0.00203,3481.04736328125,0.8210927062422051
258,0.00119,3480.94677734375,0.8210927062433
259,3.0,1406.7388916015625,0.07945313154069768
260,2.0,905.8052368164062,0.0810070610728226
261,0.00119,3480.9736328125,0.8210927062345796
262,0.04,3480.9619140625,0.8210927062410958
263,1.0,1555.4359130859375,0.10508290628138736
264,49.0,1896.5133056640625,0.006953655809218975
265,5e-05,3481.15869140625,0.8210927062452732
266,0.01701,3481.006103515625,0.8210927062426014
267,28.0,1565.0799560546875,0.007273213434128644
268,0.00203,3481.02392578125,0.8210927062429925
269,242.0,1645.517578125,0.001759316546927944
270,2e-05,3481.0400390625,0.8210927062405657
271,0.2,1557.2044677734375,0.2913949605956827
272,0.04,3481.00390625,0.8210927062413838
273,0.01,3481.03466796875,0.8210927062432412
274,0.00024,3481.00341796875,0.8210927062432116
275,49.0,1498.141845703125,0.004553882833833238
276,8e-05,1816.8848876953125,0.5686992192614116
277,0.4,1291.5230712890625,0.2758160734860416
278,701.0,2265.005859375,0.001542207019711911
279,0.01701,3481.003662109375,0.8210927062430303
280,0.4,1643.0172119140625,0.26206730793739796
281,0.04,3480.9951171875,0.8210927062434562
282,1e-05,3481.102294921875,0.8210927062430406
283,0.00041,1106.40283203125,0.6082942292113024
284,0.00203,3480.945068359375,0.8210927062420702
285,0.7,1393.309814453125,0.16125357699122744
286,28.0,1400.511474609375,0.006211357957124582
287,3e-05,3481.0458984375,0.8210927062429737
288,8e-05,3481.10595703125,0.8210927062413812
289,49.0,1500.299560546875,0.004655214243490327
290,412.0,2097.83154296875,0.0012876844159193212
291,17.0,1642.7587890625,0.013091074862165675
292,1e-05,3481.0263671875,0.821092706242324
293,0.0007,3481.01416015625,0.8210927062383588
294,0.02,3480.933837890625,0.8210927062429014
295,2.0,1609.004150390625,0.10416705551368632
296,5e-05,3480.8779296875,0.821092706240224
297,0.4,1501.454345703125,0.2563152141339323
298,10000.0,2176.68603515625,0.0007030354291288376
299,0.00203,3480.9599609375,0.8210927062429192
300,0.1,3481.085205078125,0.8210927062427539
301,2.0,1715.4893798828125,0.07780414607861767
302,1e-05,3481.003662109375,0.8210927062400752
303,0.00203,3480.891845703125,0.8210927062401354
304,0.4,1567.4554443359375,0.15173022216289866
305,5.0,820.0639038085938,0.042797928651499575
306,10.0,1431.0496826171875,0.019695697919301244
307,5.0,1593.489501953125,0.05786076380820141
308,0.00041,3480.9970703125,0.8210927062426975
309,2.0,1770.05712890625,0.10422120200346338
310,5.0,969.4269409179688,0.040749247057860524
311,0.00119,3480.9892578125,0.8210927062426842
312,0.00014,3481.146484375,0.8210927062426808
313,1e-05,3481.01904296875,0.8210927062420263
314,3e-05,3480.986572265625,0.8210927062403021
315,5.0,1520.7984619140625,0.051656483758705254
316,28.0,1664.8092041015625,0.007021059882142667
317,3e-05,3481.047119140625,0.8210927062425611
