,Lambda,FID,MSE
168,0.7,0.09938020259141922,0.1333630540833243
169,10.0,0.08279334008693695,0.021948780769649665
170,0.4,0.06099710986018181,0.17618679823855843
171,0.2,0.14298871159553528,0.18104145110170652
172,8e-05,1.6289300918579102,0.45366762028465596
173,0.00041,1.6289300918579102,0.453667620283981
174,2.0,0.09515223652124405,0.04634971249020143
175,0.04,1.6289300918579102,0.45366762028382224
176,2030.0,0.8031446933746338,0.005774741304962778
177,0.00346,1.6289303302764893,0.45366762028458596
178,0.2,1.6289300918579102,0.45366762028864194
179,5e-05,1.6289300918579102,0.4536676202838402
180,10000.0,1.5245697498321533,0.0006731651305391283
181,0.4,0.07742089778184891,0.19252542119236865
182,0.01,1.6289300918579102,0.45366762028430613
183,1193.0,0.15000024437904358,0.0021438022708416896
184,0.04,1.6289300918579102,0.45366762028397256
185,0.1,1.6289300918579102,0.453667620284315
186,0.04,1.6289300918579102,0.4536676202839747
187,142.0,0.10508181899785995,0.0019148213927978673
188,83.0,0.12145133316516876,0.002012068925536349
189,0.01,1.6289300918579102,0.45366762028400076
190,0.08,1.6289300918579102,0.4536676202842009
191,2e-05,1.6289300918579102,0.45366762028396046
192,3e-05,1.6289300918579102,0.45366762028397634
193,1.0,0.11564897745847702,0.091381962683603
194,242.0,0.12703321874141693,0.0021352414668448292
195,0.2,0.08605761080980301,0.2713348145787221
196,17.0,0.10077682137489319,0.009791690733000076
197,5e-05,1.6289300918579102,0.45366762028384633
198,142.0,0.10720841586589813,0.001558273330318183
199,49.0,0.10837307572364807,0.004170889399023641
200,5.0,0.07416195422410965,0.03438569468117421
201,3455.5878,0.779475212097168,0.003942087592389392
202,0.1,1.6289300918579102,0.4536676202839045
203,0.02,1.6289300918579102,0.45366762028410723
204,0.7,0.1881624311208725,0.0607825317597659
205,1e-05,1.6289300918579102,0.4536676202839155
206,142.0,0.10008925199508667,0.0012516039803874416
207,3.0,0.1001102477312088,0.036449156668886505
208,0.00588,1.6289300918579102,0.45366762028396057
209,0.00119,1.6289300918579102,0.45366762028427726
210,10000.0,1.573136568069458,0.0009037618481077754
211,0.00119,1.6289300918579102,0.45366762028392527
212,0.00024,1.6289300918579102,0.4536676202840023
213,5e-05,1.6289300918579102,0.4536676202838775
214,0.00014,1.6289303302764893,0.4536676202842484
215,83.0,0.09455658495426178,0.002151529641719789
216,10000.0,1.543097734451294,0.0007633046429405543
217,0.02,1.6289300918579102,0.4536676202840377
218,0.01,1.6289300918579102,0.45366762028383634
219,2.0,1.6288094520568848,0.4536676204998814
220,0.01701,1.6289300918579102,0.45366762028417645
221,1.0,0.07898318022489548,0.10159398260380943
222,0.01,1.6289300918579102,0.453667620284103
223,2.0,0.08857108652591705,0.036919520183578164
224,0.08,1.6289303302764893,0.45366762028430885
225,0.00119,1.6289300918579102,0.45366762028381197
226,0.00588,1.6289300918579102,0.45366762028428675
227,0.4,0.08574492484331131,0.1738550739210077
228,1193.0,0.13163644075393677,0.001226772190524551
229,2e-05,1.6289300918579102,0.45366762028401186
230,701.0,0.10486041754484177,0.0008467135840235708
231,0.2,0.0906560942530632,0.2713858697976703
232,5.0,0.108111672103405,0.033909458000406546
233,83.0,0.10523476451635361,0.001988851588406571
234,0.00119,1.6289300918579102,0.4536676202839208
235,1.0,0.18989066779613495,0.05538111484101234
236,0.7,0.21037466824054718,0.07888418258192002
237,0.04,1.6289300918579102,0.45366762028410185
238,5e-05,1.6289300918579102,0.4536676202841715
239,242.0,0.13020291924476624,0.001267554712566802
240,0.00346,1.6289300918579102,0.4536676202840935
241,28.0,0.09463229775428772,0.005566569231454242
242,1e-05,1.6289300918579102,0.4536676202837757
243,2.0,0.10428334027528763,0.03819946350685393
244,0.02,1.6289300918579102,0.4536676202839575
245,0.01701,1.6289300918579102,0.4536676202838775
246,49.0,0.10696761310100555,0.003434981313990612
247,3e-05,1.6289300918579102,0.4536676202838888
248,17.0,0.08106663823127747,0.013716427521020638
249,0.00588,1.6289300918579102,0.45366762028395335
250,0.1,1.6289300918579102,0.4536676202839785
251,701.0,0.2152298390865326,0.027555498553198107
252,5.0,0.0951673835515976,0.031000621055111467
253,17.0,0.10476044565439224,0.009556865039380929
254,0.2,0.08493926376104355,0.24641202502754703
255,412.0,0.120051808655262,0.0011582582300099246
256,2e-05,1.6289300918579102,0.45366762028385416
257,5e-05,1.6289300918579102,0.45366762028384994
258,3e-05,1.6289300918579102,0.453667620284008
259,0.00024,1.6289300918579102,0.45366762028411495
260,0.4,1.6289300918579102,0.45366762028813534
261,0.4,0.16273817420005798,0.05991671033628821
262,0.00588,1.6289300918579102,0.4536676202838174
263,1193.0,0.15222667157649994,0.0018970975855883356
264,0.00203,1.6289300918579102,0.45366762028425583
